0,0,バスケットコート区画のニュースです！ バスケットコートの工事が始まりました！ちなみに、最初期のバスケではゴールとして文字通り木製のカゴを使っていたとか。,0,,,,1,0,0,0
1,0,病院区画のニュースです！ 病院が建設され始めました,1,,,,2,1,0,0
2,0,公園区画のニュースです！ アンケートに回答したことで、公園の工事が始まりました！,2,,,,3,2,1,1
3,0,郵便局区画のニュースです！ 郵便局の建設が始まりました,3,,,,4,3,1,1
4,0,バスケットコート区画のニュースです！ アンケートに回答することでバスケットコートが完成します！,4,,,,6,4,1,2
5,0,病院区画のニュースです！ 住民たちは早く病院ができることを待ち望んでいます,5,,,,8,6,1,2
6,0,病院区画のニュースです！ 病院が建設されました。遠くまで病院に通っていた住民から喜びの声が集まっています,6,,,,11,9,3,3
7,0,郵便局区画のニュースです！ そういえば郵政民営化後から17年間で郵便局は500件ほど減ったらしいですよ,7,,,,13,11,3,3
8,0,バスケットコート区画のニュースです！ バスケットコートが完成しました！子供たちが集まり始めたようです！,8,,,,16,14,4,6
9,0,公園区画のニュースです！ 公園に芝生が植えられました！子供達がサッカーをして遊び始めたようです,9,,,,18,16,9,9
10,0,病院区画のニュースです！ 病院の周辺環境も非常によくなりました！都市の健康も保たれいます,10,健康が気になるおじいさん,病院が近いのは助かるわい,char_3.png,22,19,13,11
11,0,バスケットコート区画のニュースです！ バスケットコートと公園が完成しました！男の子が喜んでいます！,11,男の子,いっぱい遊ぶぜ！！,char_1.png,26,22,16,15
12,0,郵便局区画のニュースです！ 郵便局の建物が竣工しました。あとはスタッフが配置されるだけです,12,,,,29,25,18,16
13,0,郵便局区画のニュースです！ 郵便局がOPENしました！最初のお客さんはお子さんの口座を作りにきたお母さんだったらしいです,13,お子さんの口座を作りにきたお母さん,やっぱり子供の時からお金の管理は重要よ（ギラギラ）,char_4.png,33,28,22,21
14,0,公園区画のニュースです！ 公園にベンチが置かれました！家族連れで楽しめるようになりましたね！,14,,,,36,30,25,24
15,0,公園区画のニュースです！ ついに緑たくさんの公園が完成しました！街の緑が増えました！街の子供たちが喜んでいます！,15,女の子,公園を作ってくれてありがとう！,char_0.png,40,32,27,28
16,1,郵便局区画のニュースです！ 郵便局の建設が始まりました,0,,,,1,1,0,0
17,1,図書館区画のニュースです！ 多くの住民の希望により図書館の工事が始まりました！,1,,,,2,2,0,0
18,1,住宅エリア区画のニュースです！ 新たな住宅が建設開始とのことです,2,,,,3,3,0,0
19,1,郵便局区画のニュースです！ そういえば郵政民営化後から17年間で郵便局は500件ほど減ったらしいですよ,3,,,,5,5,0,0
20,1,住宅エリア区画のニュースです！ 早くもファミリーが現地見学会に参加しているようです,4,,,,7,7,2,0
21,1,郵便局区画のニュースです！ 郵便局の建物が竣工しました。あとはスタッフが配置されるだけです,5,,,,10,10,4,1
22,1,郵便局区画のニュースです！ 郵便局がOPENしました！最初のお客さんはお子さんの口座を作りにきたお母さんだったらしいです,6,お子さんの口座を作りにきたお母さん,やっぱり子供の時からお金の管理は重要よ（ギラギラ）,char_4.png,14,13,8,6
23,1,学校区画のニュースです！ 学校の建設が始まりました,7,,,,15,14,8,6
24,1,住宅エリア区画のニュースです！ 好立地の戸建て住宅のため抽選販売になるそうです。Spin Cityの人気を物語っています,8,,,,18,17,11,7
25,1,図書館区画のニュースです！ 図書館の完成まであと少し。ちなみに明治期は「ずしょかん」という呼び名だったらしいですよ,9,,,,20,19,11,8
26,1,住宅エリア区画のニュースです！ 住人が他の街から引っ越してきたようです。早速インタビューしてみましょう,10,とある家庭のお母さん,新しい家は最高ね。ガーデニングもできるし、キッチンも広いし。,char_6.png,24,22,16,10
27,1,学校区画のニュースです！ 街の住民からは学校ができるのが待ち遠しいという声であふれています,11,,,,26,24,17,11
28,1,図書館区画のニュースです！ 図書館が完成しました！住民たちは大喜びです,12,,,,29,27,19,15
29,1,図書館区画のニュースです！ 図書館の周りも自然豊かになりました。調べものが大好きな男性も大満足のようです,13,調べものが大好きな男性,本は私にとって人生そのものです,char_2.png,33,30,23,20
30,1,学校区画のニュースです！ 学校ができあがりました！生徒たちが協力して学校の庭園に草木を植えるらしいですよ,14,,,,36,33,25,24
31,1,学校区画のニュースです！ 立派な学校ができました！緑にあふれる学校で生徒たちも大満足です,15,おかっぱの女の子,学校は楽しいねぇ。宿題さえなければ最高だよ。,char_5.png,40,36,29,29
32,2,公園区画のニュースです！ アンケートに回答したことで、公園の工事が始まりました！,0,,,,1,1,1,1
33,2,病院区画のニュースです！ 病院が建設され始めました,1,,,,2,2,1,1
34,2,郵便局区画のニュースです！ 郵便局の建設が始まりました,2,,,,3,3,1,1
35,2,病院区画のニュースです！ 住民たちは早く病院ができることを待ち望んでいます,3,,,,5,5,1,1
36,2,郵便局区画のニュースです！ そういえば郵政民営化後から17年間で郵便局は500件ほど減ったらしいですよ,4,,,,7,7,1,1
37,2,図書館区画のニュースです！ 多くの住民の希望により図書館の工事が始まりました！,5,,,,8,8,1,1
38,2,郵便局区画のニュースです！ 郵便局の建物が竣工しました。あとはスタッフが配置されるだけです,6,,,,11,11,3,2
39,2,公園区画のニュースです！ 公園に芝生が植えられました！子供達がサッカーをして遊び始めたようです,7,,,,13,13,8,5
40,2,公園区画のニュースです！ 公園にベンチが置かれました！家族連れで楽しめるようになりましたね！,8,,,,16,15,11,8
41,2,公園区画のニュースです！ ついに緑たくさんの公園が完成しました！街の緑が増えました！街の子供たちが喜んでいます！,9,女の子,公園を作ってくれてありがとう！,char_0.png,20,17,13,12
42,2,郵便局区画のニュースです！ 郵便局がOPENしました！最初のお客さんはお子さんの口座を作りにきたお母さんだったらしいです,10,お子さんの口座を作りにきたお母さん,やっぱり子供の時からお金の管理は重要よ（ギラギラ）,char_4.png,24,20,17,17
43,2,図書館区画のニュースです！ 図書館の完成まであと少し。ちなみに明治期は「ずしょかん」という呼び名だったらしいですよ,11,,,,26,22,17,18
44,2,病院区画のニュースです！ 病院が建設されました。遠くまで病院に通っていた住民から喜びの声が集まっています,12,,,,29,25,19,19
45,2,病院区画のニュースです！ 病院の周辺環境も非常によくなりました！都市の健康も保たれいます,13,健康が気になるおじいさん,病院が近いのは助かるわい,char_3.png,33,28,23,21
46,2,図書館区画のニュースです！ 図書館が完成しました！住民たちは大喜びです,14,,,,36,31,25,25
47,2,図書館区画のニュースです！ 図書館の周りも自然豊かになりました。調べものが大好きな男性も大満足のようです,15,調べものが大好きな男性,本は私にとって人生そのものです,char_2.png,40,34,29,30
48,3,図書館区画のニュースです！ 多くの住民の希望により図書館の工事が始まりました！,0,,,,1,1,0,0
49,3,バスケットコート区画のニュースです！ バスケットコートの工事が始まりました！ちなみに、最初期のバスケではゴールとして文字通り木製のカゴを使っていたとか。,1,,,,2,1,0,0
50,3,図書館区画のニュースです！ 図書館の完成まであと少し。ちなみに明治期は「ずしょかん」という呼び名だったらしいですよ,2,,,,4,3,0,1
51,3,図書館区画のニュースです！ 図書館が完成しました！住民たちは大喜びです,3,,,,7,6,2,5
52,3,学校区画のニュースです！ 学校の建設が始まりました,4,,,,8,7,2,5
53,3,学校区画のニュースです！ 街の住民からは学校ができるのが待ち遠しいという声であふれています,5,,,,10,9,3,6
54,3,住宅エリア区画のニュースです！ 新たな住宅が建設開始とのことです,6,,,,11,10,3,6
55,3,図書館区画のニュースです！ 図書館の周りも自然豊かになりました。調べものが大好きな男性も大満足のようです,7,調べものが大好きな男性,本は私にとって人生そのものです,char_2.png,15,13,7,11
56,3,住宅エリア区画のニュースです！ 早くもファミリーが現地見学会に参加しているようです,8,,,,17,15,9,11
57,3,学校区画のニュースです！ 学校ができあがりました！生徒たちが協力して学校の庭園に草木を植えるらしいですよ,9,,,,20,18,11,15
58,3,学校区画のニュースです！ 立派な学校ができました！緑にあふれる学校で生徒たちも大満足です,10,おかっぱの女の子,学校は楽しいねぇ。宿題さえなければ最高だよ。,char_5.png,24,21,15,20
59,3,住宅エリア区画のニュースです！ 好立地の戸建て住宅のため抽選販売になるそうです。Spin Cityの人気を物語っています,11,,,,27,24,18,21
60,3,バスケットコート区画のニュースです！ アンケートに回答することでバスケットコートが完成します！,12,,,,29,25,18,22
61,3,バスケットコート区画のニュースです！ バスケットコートが完成しました！子供たちが集まり始めたようです！,13,,,,32,28,19,25
62,3,住宅エリア区画のニュースです！ 住人が他の街から引っ越してきたようです。早速インタビューしてみましょう,14,とある家庭のお母さん,新しい家は最高ね。ガーデニングもできるし、キッチンも広いし。,char_6.png,36,31,24,27
63,3,バスケットコート区画のニュースです！ バスケットコートと公園が完成しました！男の子が喜んでいます！,15,男の子,いっぱい遊ぶぜ！！,char_1.png,40,34,27,31
